PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,LUAS_WILAYAH,JUMLAH_PENDUDUK,KEPADATAN_PENDUDUK,KRS,BPJS,IDM
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,BATULAYA,3.08,1842,598.05,170,911,
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,GALUNG LOMBOK,6.81,2336,343.02,227,970,
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,KARAMA,1.7,4879,2870,314,944,
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,LEKOPADIS,1.79,2559,1429.61,295,972,
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,SEPABATU,1.59,2173,1366.67,245,981,
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TANDUNG,5.5,2035,370,211,403,
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TANGNGA TANGNGA,0.79,3284,4156.96,455,614,
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TINAMBUNG,0.73,3601,4932.88,251,512,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,AMBOPADANG,19.02,1480,77.81,84,376,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,ARABUA,15.38,802,52.15,52,587,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,BESOANGIN,30.9,1005,32.52,59,942,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,BESOANGIN UTARA,38.59,694,17.98,92,581,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PEBURRU,13.11,1492,113.81,117,592,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PIRIANG TAPIKO,91.37,1153,12.62,87,824,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PODA,15.24,1293,84.84,110,787,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,POLLEWANI,28.24,2199,77.87,150,785,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,RATTE,30.76,1683,54.71,223,609,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TALOBA,33.48,959,28.64,114,826,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TARAMANU,33,1579,47.85,226,254,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TARAMANU TUA,50.16,1156,23.05,135,361,
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TUBBI,30.65,1271,41.47,75,127,
