PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,MAMUJU,KALUKKU,2010,GULILING,720,24,34,76,93,75,81,58,42,54,47,46,25,21,20,9,6,9
SULAWESI BARAT,MAMUJU,KALUKKU,2011,UHAIMATE,410,0,16,46,42,55,57,36,25,30,33,20,20,8,10,9,2,1
SULAWESI BARAT,MAMUJU,KALUKKU,2012,KALUKKU BARAT,2081,24,93,194,217,247,216,156,160,177,162,125,109,76,46,37,21,21
SULAWESI BARAT,MAMUJU,KALUKKU,2013,PAMMULUKANG,821,0,46,83,86,116,94,63,67,53,68,40,40,16,26,13,4,6
SULAWESI BARAT,MAMUJU,KALUMPANG,2001,KALUMPANG,219,0,7,13,9,18,23,17,20,11,15,14,18,15,12,8,8,11
SULAWESI BARAT,MAMUJU,KALUMPANG,2003,KARATAUN,614,6,20,39,54,70,74,49,39,50,64,33,44,19,14,18,12,9
SULAWESI BARAT,MAMUJU,KALUMPANG,2004,KARAMA,450,0,19,31,45,52,57,54,28,27,34,33,25,21,10,6,3,5
SULAWESI BARAT,MAMUJU,KALUMPANG,2006,SIRAUN,149,0,5,16,14,18,16,16,8,17,14,10,4,1,6,1,2,1
SULAWESI BARAT,MAMUJU,KALUMPANG,2007,TUMOGA,424,0,14,36,43,42,50,30,21,42,21,20,31,20,20,12,10,12
SULAWESI BARAT,MAMUJU,KALUMPANG,2010,SALUMAKKI,329,7,11,38,34,43,40,18,23,20,24,25,12,11,9,5,5,4
SULAWESI BARAT,MAMUJU,KALUMPANG,2011,POLIO,283,0,12,23,28,24,34,30,17,22,26,16,23,6,8,3,6,5
SULAWESI BARAT,MAMUJU,KALUMPANG,2012,LIMBONG,380,0,16,20,35,54,41,32,34,33,30,17,21,8,10,11,11,7
SULAWESI BARAT,MAMUJU,KALUMPANG,2013,SANDAPANG,344,0,10,35,40,47,30,32,33,22,13,28,19,9,7,6,11,2
SULAWESI BARAT,MAMUJU,KALUMPANG,2014,KONDO BULO,418,12,18,38,26,40,43,30,31,30,27,41,23,13,13,12,9,12
SULAWESI BARAT,MAMUJU,KALUMPANG,2015,MAKKALIKI,238,0,15,26,29,27,22,15,34,13,12,16,12,7,6,0,2,2
SULAWESI BARAT,MAMUJU,KALUMPANG,2016,BATU MAKKADA,400,0,16,41,34,48,49,35,22,33,27,31,23,20,10,4,4,3
SULAWESI BARAT,MAMUJU,KALUMPANG,2017,LASA',331,6,17,29,39,44,47,31,16,33,15,16,11,6,10,2,6,3
SULAWESI BARAT,MAMUJU,PAPALANG,2001,TOABO,2076,27,90,181,164,202,171,167,149,169,188,142,143,80,81,53,36,33
SULAWESI BARAT,MAMUJU,PAPALANG,2002,PAPALANG,2427,23,126,221,260,323,235,207,199,177,167,151,148,59,60,32,19,20
SULAWESI BARAT,MAMUJU,PAPALANG,2003,BONDA,1091,0,39,125,128,133,118,84,103,81,79,64,49,38,23,8,7,12
SULAWESI BARAT,MAMUJU,PAPALANG,2004,TOPORE,1389,4,32,112,129,137,160,126,112,120,94,105,81,56,40,33,26,22
SULAWESI BARAT,MAMUJU,PAPALANG,2005,SALUKAYU,881,0,48,87,95,96,99,59,67,63,87,66,40,31,17,7,10,9
SULAWESI BARAT,MAMUJU,PAPALANG,2006,SUKADAMAI,380,5,15,42,35,30,30,32,35,30,25,24,29,25,7,8,7,1
SULAWESI BARAT,MAMUJU,PAPALANG,2007,BODA-BODA,687,0,23,37,64,69,91,51,54,53,50,49,52,29,21,21,15,8
SULAWESI BARAT,MAMUJU,PAPALANG,2008,SISANGO,355,0,16,25,26,36,44,22,30,31,29,28,23,13,7,14,4,7
SULAWESI BARAT,MAMUJU,PAPALANG,2009,BATU AMPA,642,4,38,80,74,77,72,47,50,39,47,49,20,22,11,2,7,3
SULAWESI BARAT,MAMUJU,SAMPAGA,2001,BUNDE,1913,51,98,163,182,178,169,135,155,163,154,146,102,103,44,40,15,15
SULAWESI BARAT,MAMUJU,SAMPAGA,2002,KALONDING,1496,46,73,136,124,117,136,108,130,126,131,100,105,65,39,21,24,15
SULAWESI BARAT,MAMUJU,SAMPAGA,2003,TARAILU,1455,28,82,126,136,135,136,102,101,133,122,129,90,47,44,16,16,12
SULAWESI BARAT,MAMUJU,SAMPAGA,2004,SAMPAGA,664,0,37,58,67,71,78,42,55,48,48,41,28,35,21,14,9,12
SULAWESI BARAT,MAMUJU,SAMPAGA,2005,TANAMBUAH,272,0,7,22,21,27,31,21,14,20,20,27,24,10,10,7,8,3
SULAWESI BARAT,MAMUJU,SAMPAGA,2006,SALUBARANA,348,8,18,16,30,28,45,23,29,19,31,28,24,21,11,6,7,4
SULAWESI BARAT,MAMUJU,SAMPAGA,2007,LOSSO,485,0,23,48,47,47,44,54,41,38,36,22,27,18,18,7,6,9
SULAWESI BARAT,MAMUJU,TOMMO,2001,TOMMO,824,0,36,85,83,82,67,68,69,68,81,69,44,26,21,7,7,11
SULAWESI BARAT,MAMUJU,TOMMO,2002,CAMPALOGA,974,4,44,72,93,124,137,68,57,85,98,78,43,36,19,5,5,6
SULAWESI BARAT,MAMUJU,TOMMO,2003,BUANA SAKTI,665,0,23,56,45,60,73,63,48,55,49,53,39,28,34,20,11,8
SULAWESI BARAT,MAMUJU,TOMMO,2004,TAMEMONGGA,605,5,28,55,79,65,66,51,49,53,52,50,23,11,7,5,3,3
SULAWESI BARAT,MAMUJU,TOMMO,2005,TAMEJARRA,603,0,32,70,63,58,56,54,50,65,43,45,25,19,7,5,5,6
SULAWESI BARAT,MAMUJU,TOMMO,2006,RANTEMARIO,519,0,28,42,47,47,63,46,34,39,51,49,33,15,8,8,3,6
SULAWESI BARAT,MAMUJU,TOMMO,2007,MALINO,261,0,11,17,28,28,33,23,19,18,21,20,24,9,3,3,1,3
SULAWESI BARAT,MAMUJU,TOMMO,2008,KAKULLASANG,1280,0,36,113,143,140,148,116,103,111,125,88,69,33,27,12,11,5
SULAWESI BARAT,MAMUJU,TOMMO,2009,LELING,342,6,18,41,34,36,31,22,33,30,26,24,20,10,5,5,0,1
SULAWESI BARAT,MAMUJU,TOMMO,2010,KALEPU,297,0,18,24,27,24,30,26,30,22,27,22,13,10,15,3,1,5
SULAWESI BARAT,MAMUJU,TOMMO,2011,SANDANA,351,0,17,39,44,43,42,22,26,49,42,18,8,0,0,0,0,1
SULAWESI BARAT,MAMUJU,TOMMO,2012,LELING BARAT,517,7,22,65,62,56,43,34,50,41,45,37,25,13,12,2,3,0
SULAWESI BARAT,MAMUJU,TOMMO,2013,LELING UTARA,452,0,18,51,56,50,51,30,46,45,45,35,16,5,2,1,1,0
SULAWESI BARAT,MAMUJU,TOMMO,2014,SALUDENGEN,465,0,23,43,52,56,35,47,43,32,32,27,31,21,11,9,1,2
SULAWESI BARAT,MAMUJU,SIMBORO,1001,SIMBORO,7976,210,534,910,824,643,619,723,832,834,689,412,338,187,102,50,31,38
SULAWESI BARAT,MAMUJU,SIMBORO,1002,RANGAS,2368,73,142,290,266,248,221,193,208,183,162,107,115,59,38,15,21,27
SULAWESI BARAT,MAMUJU,SIMBORO,2003,BOTTENG,822,0,57,95,72,85,100,72,73,72,62,39,45,19,16,2,6,7
SULAWESI BARAT,MAMUJU,SIMBORO,2004,SALETTO,1748,22,128,180,185,193,208,166,119,119,129,77,78,43,38,26,21,16
SULAWESI BARAT,MAMUJU,SIMBORO,2005,SUMARE,1331,8,73,132,143,160,136,129,115,83,76,86,58,35,31,29,16,21
SULAWESI BARAT,MAMUJU,SIMBORO,2007,BOTTENG UTARA,1157,36,77,130,101,140,118,78,95,96,81,60,53,27,29,8,13,15
SULAWESI BARAT,MAMUJU,SIMBORO,2008,TAPANDULLU,365,0,24,26,30,37,35,34,31,27,12,22,23,18,8,15,9,14
