PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,MAMUJU,TAPALANG,1002,KASAMBANG,1301,30,78,117,144,169,159,106,65,82,82,77,69,38,37,21,15,12
SULAWESI BARAT,MAMUJU,TAPALANG,1014,DAYANGINNA,781,0,39,69,89,87,101,70,50,44,43,56,51,21,20,18,12,11
SULAWESI BARAT,MAMUJU,TAPALANG,2003,OROBATU,532,0,36,61,46,66,55,35,30,48,34,31,26,16,28,12,4,4
SULAWESI BARAT,MAMUJU,TAPALANG,2006,TAKANDEANG,1298,30,85,130,118,177,161,104,83,77,77,72,62,47,39,14,12,10
SULAWESI BARAT,MAMUJU,TAPALANG,2009,BELA,260,0,16,34,28,39,38,21,17,10,13,12,6,7,8,3,2,6
SULAWESI BARAT,MAMUJU,TAPALANG,2010,TAAN,1762,33,98,175,227,273,205,141,101,97,101,99,67,53,38,26,11,17
SULAWESI BARAT,MAMUJU,TAPALANG,2011,TAMPALANG,1152,5,63,114,124,150,113,76,67,92,77,79,66,37,30,26,17,16
SULAWESI BARAT,MAMUJU,TAPALANG,2012,RANTEDODA,424,0,21,56,54,64,53,27,23,26,29,28,17,7,5,2,5,7
SULAWESI BARAT,MAMUJU,TAPALANG,2013,KOPEANG,365,2,15,35,34,44,66,35,17,20,21,23,18,13,9,5,4,4
SULAWESI BARAT,MAMUJU,KALUKKU,1001,SINYONYOI,2728,15,163,274,297,324,320,219,201,182,167,172,130,89,68,50,21,36
SULAWESI BARAT,MAMUJU,KALUKKU,1002,BEBANGA,4035,107,262,452,467,439,443,297,294,264,268,197,207,120,90,58,27,43
SULAWESI BARAT,MAMUJU,KALUKKU,1003,KALUKKU,2330,7,78,231,266,286,249,183,149,175,173,135,143,94,58,40,25,38
SULAWESI BARAT,MAMUJU,KALUKKU,1014,SINYONYOI SELATAN,2001,20,86,226,226,218,222,154,145,133,141,135,100,63,49,34,27,22
SULAWESI BARAT,MAMUJU,KALUKKU,2004,SONDOANG,1104,4,45,128,139,139,123,85,67,81,79,61,49,36,23,17,15,13
SULAWESI BARAT,MAMUJU,KALUKKU,2005,BERU-BERU,2556,67,153,288,277,262,229,186,178,214,166,153,155,84,55,40,30,19
SULAWESI BARAT,MAMUJU,KALUKKU,2006,BELANG BELANG,1830,39,117,219,220,257,194,134,116,98,99,107,103,45,30,24,16,12
SULAWESI BARAT,MAMUJU,KALUKKU,2007,KABULOANG,1792,27,119,207,189,192,176,146,125,146,104,103,96,53,47,30,19,13
SULAWESI BARAT,MAMUJU,KALUKKU,2008,KEANG,2345,12,78,199,244,279,324,258,171,171,142,119,98,80,77,56,19,18
SULAWESI BARAT,MAMUJU,KALUKKU,2009,POKKANG,1222,15,78,126,154,139,151,81,86,68,85,72,64,43,20,16,10,14
SULAWESI BARAT,MAMUJU,KALUKKU,2010,GULILING,747,23,55,62,65,103,85,54,55,45,57,40,37,32,12,8,7,7
SULAWESI BARAT,MAMUJU,KALUKKU,2011,UHAIMATE,423,0,19,39,43,64,59,36,30,33,25,23,19,8,9,8,8,0
SULAWESI BARAT,MAMUJU,KALUKKU,2012,KALUKKU BARAT,2072,26,94,226,234,214,211,137,137,156,162,118,132,74,60,40,25,26
SULAWESI BARAT,MAMUJU,KALUKKU,2013,PAMMULUKANG,923,0,48,97,117,120,112,61,65,62,74,55,35,23,20,16,9,9
SULAWESI BARAT,MAMUJU,KALUMPANG,2001,KALUMPANG,196,0,8,13,14,13,17,12,9,20,14,15,12,18,13,9,2,7
SULAWESI BARAT,MAMUJU,KALUMPANG,2003,KARATAUN,708,7,24,52,55,78,92,43,61,51,60,48,50,24,16,14,16,17
SULAWESI BARAT,MAMUJU,KALUMPANG,2004,KARAMA,481,0,18,38,44,54,61,51,38,33,34,26,26,20,17,7,7,7
SULAWESI BARAT,MAMUJU,KALUMPANG,2006,SIRAUN,170,0,8,21,16,22,21,11,18,14,8,8,13,4,3,1,2,0
SULAWESI BARAT,MAMUJU,KALUMPANG,2007,TUMOGA,442,0,11,38,34,47,46,39,41,40,24,22,23,22,17,13,14,11
SULAWESI BARAT,MAMUJU,KALUMPANG,2010,SALUMAKKI,377,10,8,39,32,50,37,25,23,24,34,13,28,18,10,3,11,12
SULAWESI BARAT,MAMUJU,KALUMPANG,2011,POLIO,345,0,17,21,28,48,49,35,27,23,22,14,22,19,10,3,5,2
SULAWESI BARAT,MAMUJU,KALUMPANG,2012,LIMBONG,400,0,9,23,45,52,44,35,28,27,34,18,24,15,14,9,15,8
SULAWESI BARAT,MAMUJU,KALUMPANG,2013,SANDAPANG,371,0,12,37,58,37,31,38,26,29,27,16,19,18,8,4,5,6
SULAWESI BARAT,MAMUJU,KALUMPANG,2014,KONDO BULO,451,9,25,25,35,46,47,37,31,42,32,39,34,13,11,9,11,5
SULAWESI BARAT,MAMUJU,KALUMPANG,2015,MAKKALIKI,267,0,19,34,31,20,30,22,26,21,15,14,13,5,12,2,0,3
SULAWESI BARAT,MAMUJU,KALUMPANG,2016,BATU MAKKADA,501,0,14,52,63,65,56,35,38,24,40,25,31,13,18,12,8,7
SULAWESI BARAT,MAMUJU,KALUMPANG,2017,LASA',350,7,15,25,39,40,45,28,20,36,23,6,24,6,14,4,6,12
SULAWESI BARAT,MAMUJU,PAPALANG,2001,TOABO,2077,30,106,171,160,169,169,179,150,170,180,141,141,99,85,57,37,33
SULAWESI BARAT,MAMUJU,PAPALANG,2002,PAPALANG,2488,21,138,265,263,297,252,201,190,190,186,119,145,84,52,27,29,29
SULAWESI BARAT,MAMUJU,PAPALANG,2003,BONDA,1180,0,32,119,131,151,142,95,102,87,83,60,68,49,24,21,10,6
SULAWESI BARAT,MAMUJU,PAPALANG,2004,TOPORE,1527,2,33,136,169,196,149,132,114,123,102,102,88,64,36,40,16,25
SULAWESI BARAT,MAMUJU,PAPALANG,2005,SALUKAYU,900,0,48,85,98,99,89,68,57,73,72,62,58,35,26,16,9,5
SULAWESI BARAT,MAMUJU,PAPALANG,2006,SUKADAMAI,366,5,18,26,32,36,29,33,25,37,22,22,23,22,21,4,5,6
SULAWESI BARAT,MAMUJU,PAPALANG,2007,BODA-BODA,722,0,28,49,52,73,78,64,50,51,58,48,55,34,25,28,14,15
SULAWESI BARAT,MAMUJU,PAPALANG,2008,SISANGO,397,0,12,36,29,49,39,36,21,27,32,32,32,14,11,6,7,14
SULAWESI BARAT,MAMUJU,PAPALANG,2009,BATU AMPA,719,3,37,91,99,84,70,53,44,42,52,54,37,25,14,9,2,3
